Round No,GATE Rank,GATE Score,GATE Normalized Marks,M.Tech course work offers if received in this round - Please mention course name too,Decision for this round,Offer selected to accept or retain
Round 1,85,899,92.46,IIT Kanpur — MTech Computer Science and Engineering,Retain and Wait,No Offer
Round 1,85,899,74.00,"IIT Kanpur
IIT Kharagpur",Retain and Wait,IIT Kanpur
Round 1,92,892,91.67,"IIT Kanpur — MTech Computer Science and Engineering
IIT Kharagpur — MTech Computer Science and Engineering",Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 1,103,884,75.63,"IIT Kharagpur — MTech Computer Science and Engineering
IIT Roorkee — MTech Computer Science and Engineering",Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering
Round 1,105,884,75.62,IIT Guwahati — MTech (Teaching Assistantship),Retain and Wait,IIT Guwahati — MTech (Teaching Assistantship)
Round 1,113,880,90.32,"IIT Kharagpur — MTech Computer Science and Engineering
IIT Guwahati — MTech Computer Science and Engineering",Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering
Round 1,118,879,90.21,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship)
Round 1,119,876,74.98,No Offer,NA,No Offer
Round 1,126,872,89.42,"IIT Roorkee — MTech Artificial Intelligence
IIT Delhi — MTech Computer Technology",Retain and Wait,IIT Delhi — MTech Computer Technology
Round 1,130,871,89.31,IIT Kharagpur — MTech Artificial Intelligence (Teaching Assistantship),Retain and Wait,IIT Kharagpur — MTech Artificial Intelligence
Round 1,137,868,74.33,IIT Guwahati — MTech Computer Science and Engineering,Retain and Wait,No Offer
Round 1,139,867,88.86,IIT Kharagpur — MTech Artificial Intelligence,Retain and Wait,No Offer
Round 1,143,865,74.00,IIT Roorkee — MTech Artificial Intelligence,Retain and Wait,IIT Roorkee — MTech Artificial Intelligence
Round 1,160,859,87.96,"IIT Guwahati — MTech Computer Science and Engineering
IIT Hyderabad — MTech Network and Information Security
IIT Delhi — MTech Computational and Information Sciences",Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering
Round 1,166,857,73.35,"IIT Guwahati — MTech Computer Science and Engineering
IIT Bombay — MTech EE1
IIT Bombay — MTech EE2",Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering
Round 1,179,853,87.29,"IIT Indore
IIT Patna
IIT Gandhinagar
IIT Guwahati",Retain and Wait,IIT Guwahati
Round 1,179,853,73.03,"IISc Bangalore — MTech Computer Science and Automation
IIT Guwahati — MTech Computer Science and Engineering",Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,208,842,86.05,No Offer,NA,No Offer
Round 1,208,842,86.05,No Offer,NA,No Offer
Round 1,219,838,85.60,No Offer,NA,No Offer
Round 1,221,835,85.26,IISc Bangalore — MTech Computational and Data Science,Retain and Wait,IISc Bangalore — MTech Computational and Data Science
Round 1,235,831,71.13,No Offer,NA,No Offer
Round 1,256,827,84.37,No Offer,NA,No Offer
Round 1,275,823,70.42,No Offer,NA,No Offer
Round 1,275,823,70.42,IISc Bangalore — MTech Computer Science and Engineering,Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,285,819,70.09,No Offer,NA,No Offer
Round 1,285,819,70.09,"IISc Bangalore — MTech Computer Science and Engineering
IIT (BHU) Varanasi — MTech Artificial Intelligence",Accept and Freeze,IISc Bangalore — MTech Computer Science and Automation
Round 1,296,815,83.02,IIT Patna — MTech Computer Science and Engineering,Retain and Wait,IIT Patna — MTech Computer Science and Engineering
Round 1,311,811,82.57,No Offer,NA,No Offer
Round 1,331,807,82.12,No Offer,NA,No Offer
Round 1,331,807,82.12,IIT (BHU) Varanasi — MTech Artificial Intelligence,Retain and Wait,No Offer
Round 1,342,804,81.78,IIT Gandhinagar — MTech Computer Science and Engineering,Retain and Wait,IIT Gandhinagar — MTech Computer Science and Engineering
Round 1,342,804,81.78,IIT (ISM) Dhanbad — MTech Computer Science and Engineering,Retain and Wait,IIT (ISM) Dhanbad — MTech Computer Science and Engineering
Round 1,342,804,68.79,IIT (BHU) Varanasi — MTech Artificial Intelligence,Retain and Wait,IIT (BHU) Varanasi — MTech Artificial Intelligence
Round 1,351,803,81.67,No Offer,NA,No Offer
Round 1,351,803,81.67,IIT Patna — MTech Computer Science and Engineering,Retain and Wait,IIT Patna
Round 1,366,799,81.22,"IIT (BHU) Varanasi — MTech Computer Science and Engineering (Internet of Things)
IIT Patna — MTech Computer Science and Engineering
IIT (ISM) Dhanbad — MTech Computer Science and Engineering",Retain and Wait,IIT (BHU) Varanasi — MTech Computer Science and Engineering (Internet of Things)
Round 1,381,796,80.88,No Offer,NA,No Offer
Round 1,381,796,80.88,IISc Bangalore — MTech Computational and Data Science,Retain and Wait,IISc Bangalore — MTech Computational and Data Science
Round 1,444,781,79.20,No Offer,NA,No Offer
Round 1,452,778,66.64,"IIT Jodhpur — MTech Computer Science and Engineering
IIT Bhubaneswar — MTech Computer Science and Engineering",Retain and Wait,IIT Bhubaneswar — MTech Computer Science and Engineering
Round 1,483,774,78.41,No Offer,NA,No Offer
Round 1,493,773,66.00,No Offer,NA,No Offer
Round 1,544,762,77.06,No Offer,NA,No Offer
Round 1,567,758,76.61,"IIT Tirupati — MTech Data Science and Artificial Intelligence
IIT Ropar — MTech Artificial Intelligence",Reject,Reject
Round 1,593,754,76.16,No Offer,NA,No Offer
Round 1,616,754,64.56,IIT Ropar — MTech Computer Science and Engineering,Reject,Reject
Round 1,659,747,63.92,IIT Ropar — MTech Computer Science and Engineering,Retain and Wait,No Offer
Round 1,734,739,74.48,No Offer,NA,No Offer
Round 1,750,738,74.37,No Offer,NA,No Offer
Round 1,819,730,73.47,No Offer,NA,No Offer
Round 1,819,730,62.50,"IISc Bangalore — MTech Earth Science and Engineering
IIT Patna — MTech Mathematics and Computing",Retain and Wait,IIT Patna — MTech Mathematics and Computing
Round 1,840,728,73.24,No Offer,NA,No Offer
Round 1,929,720,72.34,IIT Jammu — MTech Computer Science and Engineering,Retain and Wait,IIT Jammu — MTech Computer Science and Engineering
Round 1,972,716,71.89,No Offer,NA,No Offer
Round 1,1039,710,60.66,No Offer,NA,No Offer
Round 1,1061,708,60.65,IISc Bangalore — MTech Quantum Technology,Accept and Freeze,IISc Bangalore — MTech Quantum Technology
Round 1,1061,708,60.65,No Offer,NA,No Offer
Round 1,1081,706,60.43,IIT Dharwad — MTech Computer Science and Engineering,Retain and Wait,IIT Dharwad — MTech Computer Science and Engineering
Round 1,1735,663,56.74,IIT Bhilai — MTech Data Science and Artificial Intelligence,Retain and Wait,IIT Bhilai — MTech Data Science and Artificial Intelligence
Round 1,1765,661,56.63,No Offer,NA,No Offer
Round 1,2040,645,63.92,"IIT (ISM) Dhanbad — MTech Geomatics
IIT (BHU) Varanasi — MTech System Engineering",Retain and Wait,IIT (ISM) Dhanbad — MTech Geomatics
Round 1,2763,613,60.32,IIT Ropar — MTech Autonomous Systems and Drone Technology,Retain and Wait,IIT Ropar — MTech Autonomous Systems and Drone Technology
Round 1,3076,602,59.08,No Offer,NA,No Offer
Round 1,3124,601,58.97,No Offer,NA,No Offer
Round 1,10341,465,39.80,"IIT (BHU) Varanasi — MTech Decision Science & Engineering
IIT (BHU) Varanasi — MTech Ceramic Engineering",Accept and Freeze,IIT (BHU) Varanasi — MTech Decision Science & Engineering
Round 1,19940,300,25.15,No Offer,NA,No Offer
Round 1,2179,640,54.78,No Offer,NA,No Offer
Round 1,1535,674,57.72,No Offer,NA,No Offer
Round 2,58,916,78.38,"IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
IIT Madras — MTech Computer Science and Engineering",Accept and Freeze,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,67,908,77.69,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,70,904,77.34,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,77,900,77.00,"IIT Bombay — MTech Teaching Assistantship
IIT Hyderabad — MTech Teaching Assistantship (retained from last round)",Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,77,900,77.00,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,85,899,74.00,"IIT Bombay
IIT Hyderabad
IIT Kanpur (Retained)",Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,85,899,76.00,"IIT Bombay — Computer Science and Engineering (Teaching Assistantship)
IIT Kanpur — Computer Science and Engineering (Teaching Assistantship)",Retain and Wait,IIT Bombay — Computer Science and Engineering (Teaching Assistantship)
Round 2,85,899,76.94,"IISc Bangalore — Computational and Data Science (Retained from R1)
IIT Bombay — Computer Science and Engineering (Teaching Assistantship)",Retain and Wait,IISc Bangalore — Computational and Data Science
Round 2,92,892,76.31,IIT Kanpur — MTech Computer Science and Engineering (Retained from R1),Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 2,103,884,75.63,"IIT Kanpur — MTech Computer Science and Engineering
IIT Kharagpur — MTech Computer Science and Engineering",Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 2,105,884,75.62,IIT Kanpur — MTech Computer Science and Engineering,Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 2,113,880,75.31,"IIT Kanpur — Computer Science and Engineering
IIT Kharagpur — Computer Science and Engineering",Accept and Freeze,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,118,879,75.27,"IIT Kanpur — MTech Computer Science and Engineering (Teaching Assistantship)
IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship) (Retained from round 1)",Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,119,876,74.98,IIT Kanpur — MTech Computer Science and Engineering,Retain and Wait,No Offer
Round 2,126,872,74.33,IIT Delhi — CT,Retain and Wait,IIT Delhi — CT
Round 2,137,868,74.33,"IIT Kharagpur — Computer Science and Engineering (Teaching Assistantship)
IIT Roorkee — Computer Science and Engineering (Teaching Assistantship)
IIT Guwahati (retain and wait from round1) — Computer Science and Engineering (Teaching Assistantship)",Retain and Wait,IIT Kharagpur
Round 2,139,867,74.23,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,143,865,74.00,IIT Roorkee — MTech Computer Science and Engineering,Retain and Wait,IIT Roorkee — MTech Computer Science and Engineering
Round 2,153,861,88.19,IIT Kharagpur — MTech Computer Science and Engineering,Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering
Round 2,160,859,73.54,"IIT Kharagpur — Computer Science and Engineering
IIT Guwahati — Computer Science and Engineering (Retained from R1)",Retain and Wait,IIT Kharagpur — Computer Science and Engineering
Round 2,166,857,73.35,"IIT Guwahati — MTech Computer Science and Engineering
IIT Kharagpur — MTech Computer Science and Engineering
IIT Bombay — MTech IEOR",Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering
Round 2,179,853,73.03,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,179,853,73.03,No Offer,Retain and Wait,IIT Kharagpur — Computer Science and Engineering (Teaching Assistantship)
Round 2,184,851,72.85,"IIT Kharagpur — MTech Computer Science and Engineering
IIT Guwahati — MTech Computer Science and Engineering
IIT Roorkee — MTech Computer Science and Engineering",Retain and Wait,IIT Kharagpur — MTech Computer Science and Engineering
Round 2,208,842,72.05,IIT Guwahati — MTech Computer Science and Engineering Teaching Assistantship,Retain and Wait,IIT Guwahati — Computer Science and Engineering retain and wait
Round 2,208,842,72.02,"IIT Guwahati — Computer Science and Engineering
IIT Guwahati — DS
IIT Roorkee — Computer Science and Engineering",Retain and Wait,IIT Guwahati — Computer Science and Engineering
Round 2,212,839,85.71,IIT Guwahati — MTech Computer Science and Engineering,Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering
Round 2,221,835,71.47,"IISc Bangalore — Computational and Data Science (Retained from round 1)
IIT Guwahati — MTech Computer Science and Engineering
IIT Guwahati — MTech Robotics and AI",Accept and Freeze,IISc Bangalore — Computational and Data Science
Round 2,227,834,71.40,IIT Guwahati — MTech Teaching Assistantship,Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering Teaching Assistantship
Round 2,227,834,71.00,No Offer,Retain and Wait,IIT Guwahati
Round 2,235,831,71.13,No Offer,NA,No Offer
Round 2,235,831,71.13,No Offer,NA,No Offer
Round 2,235,831,71.13,No Offer,NA,No Offer
Round 2,256,827,84.37,IIT Roorkee — MTech Artificial Intelligence,Retain and Wait,IIT Roorkee — MTech Artificial Intelligence
Round 2,285,819,70.09,No Offer,NA,No Offer
Round 2,296,815,83.02,"IIT Hyderabad — Network and Information Security
IIT Guwahati — R&AI
IIT Patna — Computer Science and Engineering (Retained from R1)
IIT Indore — Computer Science and Engineering",Retain and Wait,IIT Hyderabad — Network and Information Security
Round 2,296,815,69.09,IIT Indore — MTech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Indore — MTech Computer Science and Engineering (Teaching Assistantship)
Round 2,275,813,70.42,No Offer,NA,No Offer
Round 2,331,807,69.06,IIT (BHU) Varanasi — MTech Computer Science and Engineering Artificial Intelligence,Retain and Wait,IIT (BHU) Varanasi — MTech Computer Science and Engineering Artificial Intelligence
Round 2,342,804,68.79,IIT Gandhinagar — MTech Computer Science and Engineering,Retain and Wait,IIT Gandhinagar — MTech Computer Science and Engineering
Round 2,342,804,68.79,IIT (BHU) Varanasi — MTech Artificial Intelligence (retained in prev round),Retain and Wait,IIT (BHU) Varanasi — MTech Artificial Intelligence
Round 2,342,804,68.79,IIT (ISM) Dhanbad — MTech Computer Science and Engineering,Retain and Wait,IIT (ISM) Dhanbad — MTech Computer Science and Engineering
Round 2,366,799,68.37,"IIT (BHU) Varanasi — Computer Science and Engineering-Artificial Intelligence
IIT Gandhinagar — Computer Science and Engineering
IIT Roorkee — applied mathematics and scientific computing",Retain and Wait,IIT (BHU) Varanasi — Computer Science and Engineering Artificial Intelligence
Round 2,366,799,68.37,"IIT Roorkee — M.Tech Applied Mathematics and Scientific Computing
IIT Kharagpur — M.Tech Industrial Engineering and Management",Reject,No Offer
Round 2,381,796,68.14,No Offer,NA,No Offer
Round 2,381,796,80.88,IIT Roorkee — Applied mathematics and scientific computing,Reject,IISc Bangalore — Computational and Data Science retained from last round
Round 2,444,781,79.20,No Offer,NA,No Offer
Round 2,452,778,66.64,IIT Patna — Computer Science and Engineering,Retain and Wait,IIT Patna — Computer Science and Engineering
Round 2,493,773,66.19,IIT Jodhpur — Computer Science and Engineering,Retain and Wait,IIT Jodhpur — Computer Science and Engineering
Round 2,544,762,65.23,No Offer,NA,No Offer
Round 2,567,758,64.91,IIT Patna — Artificial Intelligence,Reject,No Offer
Round 2,567,758,64.91,No Offer,NA,No Offer
Round 2,616,754,64.56,No Offer,NA,No Offer
Round 2,616,754,64.56,IIT Bhubaneswar — M.Tech Computer Science and Engineering,Retain and Wait,IIT Bhubaneswar — M.Tech Computer Science and Engineering
Round 2,750,738,63.19,No Offer,NA,No Offer
Round 2,819,730,62.50,"IIT Ropar — Computer Science and Engineering
IIT Jammu — Computer Science and Engineering",Retain and Wait,IIT Ropar — Computer Science and Engineering
Round 2,819,730,62.50,"IIT Ropar — Computer Science and Engineering
IIT Kanpur — Artificial Intelligence for Sustainability",Retain and Wait,IIT Ropar — Computer Science and Engineering
Round 2,1039,710,60.67,"IIT Tirupati — Data Science and Artificial Intelligence
IIT Goa — Computer Science and Engineering",Retain and Wait,IIT Tirupati — Data Science and Artificial Intelligence
Round 2,1039,710,60.77,No Offer,NA,No Offer
Round 2,1081,706,60.43,"IIT Bhilai — MTech Computer Science and Engineering
IIT Dharwad — MTech Computer Science and Engineering
IIT Tirupati — MTech Computer Science and Engineering",Retain and Wait,IIT Tirupati — MTech Computer Science and Engineering
Round 2,1202,697,59.67,IIT Tirupati — MTech Computer Science and Engineering,Retain and Wait,IIT Tirupati — MTech Computer Science and Engineering
Round 2,1337,686,58.70,IIT Dharwad — Mtech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Dharwad — Mtech Computer Science and Engineering (Teaching Assistantship)
Round 2,1735,663,56.74,IIT Bhilai — (Data Science and Artificial Intelligence),Retain and Wait,IIT Bhilai — (Data Science and Artificial Intelligence)
Round 2,1765,661,56.63,No Offer,NA,No Offer
Round 2,2040,645,55.25,"IIT (ISM) Dhanbad — Geomatics
IIT Kharagpur — Quality and Reliability Engineering",Retain and Wait,IIT Kharagpur — Quality and Reliability Engineering
Round 2,2763,613,52.50,IIT Ropar — Drone tech,Retain and Wait,IIT Ropar — drone tech
Round 2,3124,601,51.45,No Offer,NA,No Offer
Round 2,3656,583,49.90,No Offer,NA,No Offer
Round 2,8211,491,42.08,IIT Guwahati — Energy Science and Engineering ( MS-R),Retain and Wait,No Offer
Round 2,8959,480,41.10,IIT Bhilai — MTech (Half-Time Teaching Assistantship) Power systems and power electronics,Retain and Wait,IIT Bhilai — MTech (Half-Time Teaching Assistantship) Power systems and power electronics
Round 3,70,904,77.34,"IIT Bombay — MTech Computer Science (Teaching Assistantship) - Retained From Round2
IIT Delhi — MTech Computer Science
IIT Madras — MTech Computer Science (Half-Time Teaching Assistantship)",Accept and Freeze,IIT Madras — MTech Computer Science (Half-Time Teaching Assistantship)
Round 3,77,900,77.00,IIT Bombay — MTech Computer Science (Teaching Assistantship) - Retained from round 2,Retain and Wait,IIT Bombay — MTech Computer Science (Teaching Assistantship)
Round 3,77,900,77.00,IIT Bombay — MTech Computer Science (Teaching Assistantship),Retain and Wait,IIT Bombay — MTech Computer Science (Teaching Assistantship)
Round 3,92,892,78.10,"IIT Bombay — MTech Computer Science
IIT Kanpur — MTech Computer Science (Retained from R1)",Retain and Wait,IIT Bombay — MTech Computer Science
Round 3,103,884,75.63,"IIT Kanpur — MTech Computer Science and Engineering
IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)",Retain and Wait,IIT Bombay — MTech Computer Science and Engineering (Teaching Assistantship)
Round 3,105,884,75.62,"IIT Kanpur — M. Tech Computer Science (Teaching Assistantship)
IIT Bombay — M. Tech Computer Science (Teaching Assistantship)",Retain and Wait,IIT Bombay — MTech Computer Science (Teaching Assistantship)
Round 3,118,879,75.26,IIT Kanpur — MTech Computer Science (Teaching Assistantship),Retain and Wait,IIT Kanpur — MTech Computer Science (Teaching Assistantship)
Round 3,126,872,74.33,IIT Delhi — CISE (CT),Accept and Freeze,IIT Delhi — CISE (CT)
Round 3,130,871,75.00,IIT Kanpur — Mtech cs,Retain and Wait,
Round 3,139,867,72.23,IIT Kanpur — Computer Science,Retain and Wait,IIT Kanpur — Computer Science
Round 3,143,865,74.00,"IIT Roorkee — Computer Science and Engineering (RETAINED)
IIT Kanpur — Computer Science and Engineering",Retain and Wait,IIT Kanpur — Computer Science and Engineering
Round 3,153,861,8.63,IIT Kanpur — MTech Computer Science and Engineering,Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 3,160,859,73.54,"IIT Kanpur — MTech Computer Science (Teaching Assistantship)
IIT Kanpur — MTech IS (Teaching Assistantship)
IIT Kharagpur — MTech Computer Science (Retained from R2)",Retain and Wait,IIT Kanpur — MTech Computer Science (Teaching Assistantship)
Round 3,166,857,73.35,"IIT Kharagpur — MTech Computer Science and Engineering
IIT Kanpur — MTech Computer Science and Engineering",Retain and Wait,IIT Kanpur — MTech Computer Science and Engineering
Round 3,179,853,73.03,"IIT Kanpur — Computer Science (Teaching Assistantship)
IIT Kharagpur — Computer Science (Teaching Assistantship)",Retain and Wait,IIT Kanpur — Computer Science (Teaching Assistantship)
Round 3,179,853,73.03,"IIT Kanpur — MTech Computer Science (Teaching Assistantship)
IIT Kharagpur — MTech Computer Science (Teaching Assistantship) (Retained from R2)",Retain and Wait,IIT Kanpur — MTech Computer Science (Teaching Assistantship)
Round 3,184,851,72.85,IIT Kanpur — Mtech Computer Science and Engineering (Teaching Assistantship),Retain and Wait,IIT Kanpur — MTech cse Teaching Assistantship
Round 3,208,842,72.05,IIT Kharagpur-cs,Retain and Wait,IIT Kharagpur — -cs
Round 3,227,834,71.40,"IIT Guwahati — Computer Science and Engineering (retained from round 2)
IIT Roorkee — Computer Science and Engineering",Retain and Wait,IIT Roorkee — Computer Science and Engineering
Round 3,235,831,71.13,IIT Roorkee — Iit guwahati —,Retain and Wait,
Round 3,235,831,71.13,"IIT Guwahati — MTech Computer Science and Engineering
IITR MTech Computer Science and Engineering",Retain and Wait,IITR MTech Computer Science and Engineering
Round 3,240,830,71.07,"IIT Guwahati — MTech Computer Science and Engineering (Teaching Assistantship)
IIT Roorkee — MTech Computer Science and Engineering (Teaching Assistantship)",Retain and Wait,IIT Guwahati — MTech Computer Science and Engineering (Teaching Assistantship)
Round 3,256,827,20.21,"IIT Roorkee — MTech Computer Science
IIT Guwahati — MTech Computer Science",Retain and Wait,IIT Roorkee — MTech Computer Science
Round 3,275,823,70.42,IIT Guwahati — MTech Computer Science (Teaching Assistantship),Retain and Wait,IIT Guwahati — MTech Computer Science (Teaching Assistantship)
Round 3,275,823,70.42,IIT Guwahati — Mtech Computer Science and Engineering,Retain and Wait,IIT Guwahati — Mtech Computer Science and Engineering
Round 3,285,819,70.09,IIT Guwahati — MTech Computer Science(Teaching Assistantship),Retain and Wait,IIT Guwahati — MTech Computer Science(Teaching Assistantship)
Round 3,285,819,70.02,IIT Guwahati — MTech Computer Science (Teaching Assistantship),Retain and Wait,
Round 3,296,815,24.70,IIT Hyderabad — Network and Information Security (Retained from R2),Retain and Wait,IIT Hyderabad — Network and Information Security
Round 3,296,815,69.09,IIT Indore — MTech Computer Science and Engineering Teaching Assistantship (Retained from Previous Round),Retain and Wait,IIT Indore — MTech Computer Science and Engineering Teaching Assistantship (Retained from Previous Round)
Round 3,331,807,69.02,IIT Guwahati — MTech Robotics and Artificial Intelligence,Retain and Wait,IIT Guwahati — MTech Robotics and Artificial Intelligence
Round 3,331,807,69.06,"IIT (BHU) Varanasi — - Computer Science - Artificial Intelligence (Teaching Assistantship)
IIT Guwahati — - Robotics and Artificial Intelligence (Teaching Assistantship)
IIT Roorkee — - Data Science (Teaching Assistantship)",Retain and Wait,IIT Roorkee — - Data Science (Teaching Assistantship)
Round 3,342,804,68.79,IIT Gandhinagar — from R1(retained),Reject,No Offer
Round 3,342,804,68.79,IIT (BHU) Varanasi — MTech Artificial Intelligence (retained from r1),Reject,
Round 3,351,803,30.88,IIT Guwahati — Mtech robotics and Artificial Intelligence,Retain and Wait,IIT Guwahati — Mtech robotics and Artificial Intelligence
Round 3,366,799,32.56,IIT (BHU) Varanasi — MTech Computer Science and Engineering -Artificial Intelligence(Retained from R2),Retain and Wait,IIT (BHU) Varanasi — MTech Computer Science and Engineering -Artificial Intelligence
Round 3,381,796,68.14,No Offer,No Offer,No Offer
Round 3,444,781,41.33,No Offer,No Offer,
Round 3,452,778,66.64,IIT Patna — Computer Science and Engineering (R2- retained),Retain and Wait,
Round 3,493,773,65.19,IIT Jodhpur(No change),Retain and Wait,IIT Jodhpur — Computer Science and Engineering(Teaching Assistantship)
Round 3,544,762,65.23,No Offer,No Offer,
Round 3,616,754,64.56,IIT Bhubaneswar — M.Tech Computer Science and Engineering (Retained from R2),Retain and Wait,IIT Bhubaneswar — M.Tech Computer Science and Engineering
Round 3,659,747,65.48,"IIT Dhanbad — MTech Computer Science and Engineering
IIT Patna — Mtech Artificial Intelligence
IIT Bhubaneswar — Mtech Artificial Intelligence",No Offer,
Round 3,707,743,63.58,"IIT Bhubaneswar — MTECH Computer Science and Engineering
IIT DHANBAD — MTECH Computer Science and Engineering",Retain and Wait,IIT DHANBAD
Round 3,819,730,62.50,No Offer,Retain and Wait,IIT Ropar — Computer Science and Engineering from round 2
Round 3,819,730,83.46,"IIT Dhanbad — DS/Artificial Intelligence
IIT Ropar — Computer Science(Teaching Assistantship) from previous round",Retain and Wait,
